grievance_id,district,department,grievance_type,gps_match_flag,photo_uploaded,ivr_call_status,ivr_response,verification_status,reopen_flag
GJ-SWG-00025,Vadodara,Electricity,Power Cut,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00026,Rajkot,Electricity,Pothole,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00027,Vadodara,Electricity,Drainage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00028,Ahmedabad,Sanitation,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00029,Ahmedabad,Water,Pothole,1,0,SUCCESS,2,FAILED,1
GJ-SWG-00030,Vadodara,Electricity,Power Cut,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00031,Vadodara,Roads,Power Cut,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00032,Vadodara,Water,Power Cut,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00033,Rajkot,Electricity,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00034,Ahmedabad,Roads,Pothole,1,0,SUCCESS,2,REOPENED,1
GJ-SWG-00035,Rajkot,Sanitation,Drainage,1,0,SUCCESS,2,REOPENED,1
GJ-SWG-00036,Surat,Electricity,Power Cut,1,0,SUCCESS,2,REOPENED,1
GJ-SWG-00037,Surat,Electricity,Drainage,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00038,Surat,Sanitation,Garbage,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00039,Ahmedabad,Sanitation,Pothole,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00040,Rajkot,Sanitation,Garbage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00041,Ahmedabad,Sanitation,Garbage,0,1,FAILED,0,FAILED,1
GJ-SWG-00042,Vadodara,Roads,Leakage,0,0,SUCCESS,1,REOPENED,1
GJ-SWG-00043,Rajkot,Roads,Garbage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00044,Vadodara,Roads,Drainage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00045,Ahmedabad,Roads,Garbage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00046,Vadodara,Roads,Garbage,1,0,SUCCESS,2,FAILED,1
GJ-SWG-00047,Surat,Sanitation,Garbage,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00048,Surat,Sanitation,Garbage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00049,Ahmedabad,Water,Pothole,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00050,Surat,Water,Power Cut,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00051,Surat,Electricity,Garbage,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00052,Vadodara,Electricity,Garbage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00053,Ahmedabad,Water,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00054,Surat,Sanitation,Power Cut,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00055,Vadodara,Roads,Leakage,1,0,FAILED,0,FAILED,1
GJ-SWG-00056,Vadodara,Sanitation,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00057,Vadodara,Sanitation,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00058,Rajkot,Electricity,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00059,Vadodara,Sanitation,Drainage,0,1,FAILED,0,FAILED,1
GJ-SWG-00060,Rajkot,Sanitation,Pothole,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00061,Ahmedabad,Roads,Pothole,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00062,Ahmedabad,Water,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00063,Surat,Electricity,Power Cut,0,0,SUCCESS,1,FAILED,1
GJ-SWG-00064,Surat,Water,Pothole,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00065,Surat,Roads,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00066,Ahmedabad,Electricity,Garbage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00067,Surat,Electricity,Garbage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00068,Surat,Electricity,Garbage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00069,Vadodara,Water,Drainage,0,1,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00070,Surat,Water,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00071,Rajkot,Water,Drainage,0,1,FAILED,0,REOPENED,1
GJ-SWG-00072,Ahmedabad,Water,Garbage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00073,Rajkot,Roads,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00074,Ahmedabad,Roads,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00075,Ahmedabad,Roads,Drainage,0,1,FAILED,0,FAILED,1
GJ-SWG-00076,Rajkot,Sanitation,Leakage,1,0,SUCCESS,2,REOPENED,1
GJ-SWG-00077,Ahmedabad,Electricity,Power Cut,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00078,Ahmedabad,Water,Power Cut,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00079,Rajkot,Roads,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00080,Rajkot,Sanitation,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00081,Vadodara,Sanitation,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00082,Rajkot,Roads,Drainage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00083,Ahmedabad,Roads,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00084,Rajkot,Roads,Pothole,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00085,Vadodara,Roads,Leakage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00086,Rajkot,Water,Leakage,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00087,Ahmedabad,Electricity,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00088,Surat,Electricity,Power Cut,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00089,Surat,Electricity,Pothole,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00090,Rajkot,Sanitation,Power Cut,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00091,Rajkot,Water,Drainage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00092,Surat,Water,Leakage,0,1,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00093,Rajkot,Water,Power Cut,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00094,Vadodara,Electricity,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00095,Vadodara,Electricity,Power Cut,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00096,Surat,Roads,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00097,Ahmedabad,Electricity,Power Cut,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00098,Rajkot,Sanitation,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00099,Vadodara,Sanitation,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00100,Rajkot,Water,Drainage,1,0,FAILED,0,FAILED,1
GJ-SWG-00101,Vadodara,Water,Pothole,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00102,Ahmedabad,Electricity,Drainage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00103,Surat,Water,Power Cut,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00104,Vadodara,Sanitation,Garbage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00105,Vadodara,Sanitation,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00106,Vadodara,Sanitation,Pothole,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00107,Ahmedabad,Electricity,Drainage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00108,Surat,Water,Power Cut,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00109,Rajkot,Electricity,Power Cut,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00110,Rajkot,Electricity,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00111,Vadodara,Roads,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00112,Rajkot,Water,Leakage,0,0,SUCCESS,1,REOPENED,1
GJ-SWG-00113,Rajkot,Water,Power Cut,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00114,Rajkot,Roads,Leakage,1,0,SUCCESS,2,REOPENED,1
GJ-SWG-00115,Surat,Sanitation,Drainage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00116,Rajkot,Sanitation,Garbage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00117,Vadodara,Roads,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00118,Vadodara,Electricity,Drainage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00119,Vadodara,Roads,Pothole,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00120,Vadodara,Water,Leakage,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00121,Surat,Electricity,Leakage,0,1,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00122,Ahmedabad,Sanitation,Garbage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00123,Rajkot,Electricity,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00124,Rajkot,Roads,Power Cut,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00125,Vadodara,Electricity,Garbage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00126,Ahmedabad,Sanitation,Drainage,0,1,NO_RESPONSE,0,FAILED,1
GJ-SWG-00127,Vadodara,Sanitation,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00128,Rajkot,Electricity,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00129,Vadodara,Electricity,Drainage,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00130,Rajkot,Water,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00131,Ahmedabad,Roads,Garbage,0,1,FAILED,0,REOPENED,1
GJ-SWG-00132,Ahmedabad,Electricity,Garbage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00133,Rajkot,Roads,Power Cut,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00134,Vadodara,Electricity,Drainage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00135,Rajkot,Roads,Drainage,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00136,Ahmedabad,Water,Power Cut,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00137,Vadodara,Water,Drainage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00138,Surat,Roads,Power Cut,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00139,Vadodara,Electricity,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00140,Surat,Electricity,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00141,Ahmedabad,Roads,Power Cut,1,0,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00142,Vadodara,Electricity,Pothole,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00143,Vadodara,Electricity,Leakage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00144,Rajkot,Roads,Pothole,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00145,Rajkot,Roads,Pothole,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00146,Ahmedabad,Electricity,Leakage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00147,Surat,Electricity,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00148,Rajkot,Sanitation,Leakage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00149,Rajkot,Electricity,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00150,Vadodara,Water,Power Cut,0,1,FAILED,0,FAILED,1
GJ-SWG-00151,Vadodara,Roads,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00152,Vadodara,Sanitation,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00153,Rajkot,Sanitation,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00154,Rajkot,Sanitation,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00155,Surat,Roads,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00156,Surat,Roads,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00157,Surat,Roads,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00158,Ahmedabad,Electricity,Leakage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00159,Rajkot,Roads,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00160,Vadodara,Roads,Leakage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00161,Ahmedabad,Electricity,Power Cut,0,0,SUCCESS,1,REOPENED,1
GJ-SWG-00162,Rajkot,Sanitation,Power Cut,1,0,SUCCESS,2,FAILED,1
GJ-SWG-00163,Vadodara,Electricity,Leakage,0,1,FAILED,0,REOPENED,1
GJ-SWG-00164,Vadodara,Sanitation,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00165,Vadodara,Water,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00166,Surat,Electricity,Power Cut,0,1,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00167,Ahmedabad,Electricity,Garbage,0,1,FAILED,0,REOPENED,1
GJ-SWG-00168,Ahmedabad,Sanitation,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00169,Vadodara,Roads,Drainage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00170,Surat,Sanitation,Pothole,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00171,Vadodara,Roads,Pothole,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00172,Surat,Sanitation,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00173,Ahmedabad,Water,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00174,Surat,Electricity,Drainage,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00175,Ahmedabad,Sanitation,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00176,Vadodara,Water,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00177,Ahmedabad,Water,Garbage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00178,Ahmedabad,Roads,Power Cut,0,1,NO_RESPONSE,0,FAILED,1
GJ-SWG-00179,Rajkot,Water,Pothole,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00180,Ahmedabad,Water,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00181,Rajkot,Electricity,Power Cut,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00182,Rajkot,Roads,Power Cut,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00183,Vadodara,Water,Drainage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00184,Vadodara,Roads,Power Cut,1,0,FAILED,0,REOPENED,1
GJ-SWG-00185,Surat,Roads,Garbage,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00186,Surat,Roads,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00187,Vadodara,Water,Power Cut,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00188,Vadodara,Water,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00189,Rajkot,Sanitation,Pothole,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00190,Surat,Roads,Drainage,0,0,SUCCESS,2,REOPENED,1
GJ-SWG-00191,Ahmedabad,Electricity,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00192,Surat,Sanitation,Leakage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00193,Vadodara,Sanitation,Leakage,0,1,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00194,Ahmedabad,Electricity,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00195,Ahmedabad,Electricity,Garbage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00196,Ahmedabad,Electricity,Garbage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00197,Ahmedabad,Sanitation,Pothole,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00198,Rajkot,Water,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00199,Ahmedabad,Sanitation,Pothole,0,0,SUCCESS,1,FAILED,1
GJ-SWG-00200,Ahmedabad,Sanitation,Leakage,0,1,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00201,Rajkot,Water,Drainage,0,1,FAILED,0,REOPENED,1
GJ-SWG-00202,Vadodara,Water,Leakage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00203,Rajkot,Sanitation,Leakage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00204,Surat,Water,Garbage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00205,Ahmedabad,Roads,Power Cut,1,0,SUCCESS,2,FAILED,1
GJ-SWG-00206,Rajkot,Sanitation,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00207,Vadodara,Water,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00208,Vadodara,Electricity,Drainage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00209,Ahmedabad,Water,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00210,Surat,Roads,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00211,Surat,Electricity,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00212,Ahmedabad,Roads,Garbage,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00213,Rajkot,Water,Pothole,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00214,Vadodara,Sanitation,Pothole,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00215,Surat,Water,Garbage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00216,Ahmedabad,Sanitation,Pothole,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00217,Rajkot,Electricity,Garbage,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00218,Ahmedabad,Sanitation,Garbage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00219,Rajkot,Sanitation,Power Cut,0,1,NO_RESPONSE,0,FAILED,1
GJ-SWG-00220,Vadodara,Roads,Pothole,1,0,SUCCESS,2,FAILED,1
GJ-SWG-00221,Rajkot,Electricity,Leakage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00222,Rajkot,Water,Pothole,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00223,Vadodara,Electricity,Power Cut,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00224,Surat,Water,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00225,Rajkot,Water,Power Cut,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00226,Surat,Water,Pothole,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00227,Rajkot,Sanitation,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00228,Ahmedabad,Sanitation,Garbage,0,0,SUCCESS,1,FAILED,1
GJ-SWG-00229,Ahmedabad,Electricity,Garbage,1,0,FAILED,0,FAILED,1
GJ-SWG-00230,Rajkot,Water,Leakage,0,0,SUCCESS,2,FAILED,1
GJ-SWG-00231,Ahmedabad,Water,Pothole,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00232,Surat,Sanitation,Pothole,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00233,Ahmedabad,Roads,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00234,Surat,Sanitation,Garbage,0,1,SUCCESS,2,FAILED,1
GJ-SWG-00235,Vadodara,Sanitation,Power Cut,1,0,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00236,Ahmedabad,Sanitation,Garbage,0,0,SUCCESS,2,FAILED,1
GJ-SWG-00237,Ahmedabad,Roads,Pothole,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00238,Ahmedabad,Water,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00239,Surat,Sanitation,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00240,Rajkot,Sanitation,Drainage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00241,Vadodara,Roads,Drainage,0,1,FAILED,0,REOPENED,1
GJ-SWG-00242,Surat,Sanitation,Garbage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00243,Vadodara,Roads,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00244,Surat,Sanitation,Pothole,0,0,SUCCESS,1,REOPENED,1
GJ-SWG-00245,Ahmedabad,Electricity,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00246,Vadodara,Electricity,Drainage,1,0,SUCCESS,2,FAILED,1
GJ-SWG-00247,Rajkot,Electricity,Power Cut,0,0,SUCCESS,1,REOPENED,1
GJ-SWG-00248,Vadodara,Sanitation,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00249,Vadodara,Roads,Garbage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00250,Surat,Sanitation,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00251,Surat,Water,Pothole,1,0,FAILED,0,REOPENED,1
GJ-SWG-00252,Ahmedabad,Roads,Leakage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00253,Ahmedabad,Water,Leakage,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00254,Rajkot,Water,Garbage,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00255,Ahmedabad,Roads,Garbage,1,0,NO_RESPONSE,0,REOPENED,1
GJ-SWG-00256,Vadodara,Sanitation,Pothole,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00257,Ahmedabad,Roads,Power Cut,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00258,Surat,Roads,Pothole,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00259,Vadodara,Electricity,Drainage,0,0,FAILED,0,REOPENED,1
GJ-SWG-00260,Ahmedabad,Sanitation,Garbage,0,1,FAILED,0,REOPENED,1
GJ-SWG-00261,Surat,Roads,Pothole,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00262,Vadodara,Water,Pothole,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00263,Surat,Sanitation,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00264,Ahmedabad,Roads,Garbage,1,0,SUCCESS,2,FAILED,1
GJ-SWG-00265,Vadodara,Water,Leakage,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00266,Rajkot,Electricity,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00267,Rajkot,Water,Leakage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00268,Rajkot,Sanitation,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00269,Rajkot,Electricity,Drainage,0,0,SUCCESS,1,FAILED,1
GJ-SWG-00270,Ahmedabad,Water,Pothole,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00271,Vadodara,Sanitation,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00272,Ahmedabad,Roads,Drainage,0,1,SUCCESS,1,FAILED,1
GJ-SWG-00273,Ahmedabad,Electricity,Power Cut,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00274,Rajkot,Roads,Leakage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00275,Ahmedabad,Water,Leakage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00276,Surat,Roads,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00277,Rajkot,Electricity,Power Cut,0,1,SUCCESS,1,REOPENED,1
GJ-SWG-00278,Surat,Electricity,Leakage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00279,Vadodara,Sanitation,Drainage,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00280,Surat,Electricity,Power Cut,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00281,Rajkot,Sanitation,Drainage,1,1,FAILED,0,VERIFIED,0
GJ-SWG-00282,Vadodara,Electricity,Pothole,1,0,SUCCESS,2,REOPENED,1
GJ-SWG-00283,Ahmedabad,Electricity,Power Cut,0,1,FAILED,0,FAILED,1
GJ-SWG-00284,Ahmedabad,Roads,Power Cut,1,0,NO_RESPONSE,0,FAILED,1
GJ-SWG-00285,Rajkot,Sanitation,Drainage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00286,Vadodara,Roads,Pothole,0,1,FAILED,0,REOPENED,1
GJ-SWG-00287,Ahmedabad,Sanitation,Pothole,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00288,Ahmedabad,Electricity,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00289,Surat,Water,Power Cut,1,1,NO_RESPONSE,0,VERIFIED,0
